Date,Description,Amount,Running Total
2023-07-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,13.82
2023-08-01,Regular Monthly Interest – Jul 2023,-13.76,0.06
2023-08-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,5.893333333
2023-08-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.31
2023-08-05,Gross Loan Interest For Staines Mixed Use A ( 1 loan parts),4.55,9.86
2023-08-05,Loan Interest Fee For Staines Mixed Use A ( 1 loan parts),-0.455,9.405
2023-08-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,14.32166667
2023-08-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,13.83
2023-09-01,Regular Monthly Interest – Aug 2023,-13.76,0.07
2023-09-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,5.903333333
2023-09-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.32
2023-09-05,Gross Loan Interest For Staines Mixed Use A ( 1 loan parts),4.55,9.87
2023-09-05,Loan Interest Fee For Staines Mixed Use A ( 1 loan parts),-0.455,9.415
2023-09-05,Barclays Interest (02 06 2023 to 31 08 2023),0.03,9.445
2023-09-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,14.36166667
2023-09-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,13.87
2023-10-01,Regular Monthly Interest – Sep 2023,-13.76,0.11
2023-10-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,5.943333333
2023-10-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.36
2023-10-05,Gross Loan Interest For Staines Mixed Use A ( 1 loan parts),4.55,9.91
2023-10-05,Loan Interest Fee For Staines Mixed Use A ( 1 loan parts),-0.455,9.455
2023-10-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,14.37166667
2023-10-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,13.88
2023-10-25,Principal Paid Off For Staines Mixed Use - Tranche A ( 1 loan part ),1000,1013.88
2023-10-25,Gross Loan Interest For Staines Mixed Use - Tranche A ( 1 loan parts ),3.033333333,1016.913333
