platform_account_name,nonib_cash,ib_cash,accrued_int
Loanpad 60d Access,7.08,222.553132,0.0
Proplend,0.0,0.0,0.0
CrowdProperty AutoInvest,0.0,0.0,0.0
Invest & Fund,0.00,0.0,0
Assetz Capital,11.46,0.0,0.0
Kuflink Term,0.0,14.5,165.19
