Date,Transaction Type,Loan,Amount,Balance,Contract,Cash Flow,Date Value
23/02/2024 12:28:43,I and F fee,Hawfinch Homes Limited – Drawdown 8,-£0.24,£188.20,,,23/02/2024
23/02/2024 12:28:43,Loan Repayment,Hawfinch Homes Limited – Drawdown 8,£40.87,£188.44,,,23/02/2024
23/02/2024 12:28:43,Loan Repayment Interest,Hawfinch Homes Limited – Drawdown 8,£2.23,£147.57,,,23/02/2024
28/02/2024 12:18:02,Auction completion,Witley Homes (Portway) Limited (2) – Drawdown 7,-£100.00,£88.20,,,28/02/2024
01/03/2024 11:49:55,I and F fee,Airshack Projects 359 Limited (2) – Drawdown 1,-£0.43,£182.66,,,01/03/2024
01/03/2024 11:49:55,Loan Repayment,Airshack Projects 359 Limited (2) – Drawdown 1,£90.59,£183.09,,,01/03/2024
01/03/2024 11:49:55,Loan Repayment Interest,Airshack Projects 359 Limited (2) – Drawdown 1,£4.30,£92.50,,,01/03/2024
04/03/2024 11:52:49,I and F fee,Airshack Projects 359 Limited (2) – Drawdown 1,-£0.04,£192.48,,,04/03/2024
04/03/2024 11:52:49,Loan Repayment,Airshack Projects 359 Limited (2) – Drawdown 1,£9.41,£192.52,,,04/03/2024
04/03/2024 11:52:49,Loan Repayment Interest,Airshack Projects 359 Limited (2) – Drawdown 1,£0.45,£183.11,,,04/03/2024
08/03/2024 09:02:00,Auction completion,Alpine Homes Peterkins Limited – Drawdown 8,-£100.00,£92.48,,,08/03/2024
18/03/2024 16:14:48,Loan Repayment,SNV Construction Limited (4) – Drawdown 1,£13.43,£105.97,,,18/03/2024
18/03/2024 16:14:48,Loan Repayment Interest,SNV Construction Limited (4) – Drawdown 1,£0.06,£92.54,,,18/03/2024
21/03/2024 12:18:56,I and F fee,Rainworth Developments 2021 Limited (3) – Drawdown 1,-£0.01,£107.94,,,21/03/2024
21/03/2024 12:18:56,Loan Repayment,Rainworth Developments 2021 Limited (3) – Drawdown 1,£1.87,£107.95,,,21/03/2024
21/03/2024 12:18:56,Loan Repayment Interest,Rainworth Developments 2021 Limited (3) – Drawdown 1,£0.11,£106.08,,,21/03/2024
22/03/2024 13:33:39,Auction completion,Tredown Barns Developments Limited (3) – Drawdown 1,-£100.00,£7.94,,,22/03/2024
22/03/2024 16:24:04,Loan Repayment,SNV Construction Limited (4) – Drawdown 1,£14.40,£22.43,,,22/03/2024
22/03/2024 16:24:04,Loan Repayment Interest,SNV Construction Limited (4) – Drawdown 1,£0.09,£8.03,,,22/03/2024
28/03/2024 09:45:19,I and F fee,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,-£0.11,£77.90,,,28/03/2024
28/03/2024 09:45:19,Loan Repayment,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,£54.42,£78.01,,,28/03/2024
