,Paid in capital,Distr capital,Int bearing,Non bearing,Accr int,Residual value,DPI,RVPI,TVPI,Inv mnths,TVPI CAGR,Net AER,Blended LTV,No loans,Avg loan amt,Avg term,Max term,Avg ttm,Max ttm,Avg ext,Ext 90d,Non-perform,Long default,Short default,Int default
2023-08-09,,,867.5422940003257,0.0,,867.5422940003257,,,,,,0.0407415429197843,0.6182919447917389,250.0,3.4701691760013027,48.2106956032798,83.0,22.25551364688143,50.99141669408141,,,0.1301602633560436,22.14835377098455,19.92088807949792,70.85029160910618
2023-09-03,,,858.435773012406,14.75,,873.185773012406,,,,,,0.0407415429197843,0.615188316784704,245.0,3.5038194816832897,48.30016191399966,83.0,21.65177844957486,50.00448604838951,,,0.1304767007238378,24.38536261712,17.68387929387606,69.93662553498
2023-10-15,,,838.689783920886,0.0,,838.689783920886,,,,,,0.0407415429197843,0.6135905954844478,234.0,3.584144375730282,48.98275186506507,78.0,20.805618228062475,49.01755540269762,,,0.13154382638758,21.990557872350003,14.212452948986058,74.12145250779
2023-11-25,,,821.6704846426261,0.0,,821.6704846426261,,,,,,0.0407415429197839,0.6145565434571167,224.0,3.668171806440295,49.50846564787128,78.0,19.97038132652137,48.00071776774232,,,0.1533054954064748,21.99055792333,30.64999970138607,73.3260430843
2023-12-22,,,798.6083648089061,0.0,,798.6083648089061,,,,,,0.0407415429197843,0.6137889720553342,213.0,3.7493350460512014,49.97827568503398,78.0,19.6699707367128,47.01378712205042,,,0.151576965932684,21.99055794216,31.01222125508606,68.04785370895002
2024-03-31,,,752.274902534386,0.0,,752.274902534386,,,,,,0.040741542919785,0.6110173281093071,194.0,3.8777056831669374,51.33596360492429,86.0,18.44220745414483,43.99318120644795,0.0,0.0,0.154718230072345,26.27288820266,25.53737259428606,64.58038065102
2024-06-30,,,709.9297999159689,0.0,,709.9297999159689,,,,,,0.0407415429197845,0.5904455388517227,172.0,4.12749883672075,52.03487014766862,103.0,16.591372039799015,43.00625056075605,0.0,0.0,0.1821095918132917,23.64074931122,25.73950566892,79.90477109864896
2024-08-03,,,680.3540434684389,46.1,,726.454043468439,,,,,,0.0407415429197843,0.5887719127498321,162.0,4.199716317706413,52.814827339777885,103.0,15.996497761188555,43.00625056075605,0.0,0.0,0.1874533745102011,19.35720366197,28.32031019684,79.85714745100897
2024-08-04,,,680.3540434684389,46.1,,726.454043468439,,,,,,0.0407415429197843,0.5887719127498321,162.0,4.199716317706413,52.814827339777885,103.0,15.996497761188555,43.00625056075605,0.0,0.0,0.1874533745102011,19.35720366197,28.32031019684,79.85714745100897
2024-09-22,1009.612445758301,315.7794196436391,646.906561247419,73.93,0.0,720.836561247419,0.3127729070400504,0.713973529422978,1.0267464364630283,18.66149751946644,0.0171177747703992,0.0407415429197848,0.5895406716689524,150.0,4.312710408316127,52.97119420671033,103.0,15.403369481029964,43.00625056075605,0.0,0.0,0.2170022233251835,19.35720352171,48.9604015508,72.06255700182898
2024-12-18,1009.612445758301,464.781322663639,528.8313228405519,0.0,0.0,528.8313228405519,0.460356173912407,0.5237963587536371,0.984152532666044,21.519860695863585,-0.0088681490324826,0.0407415429197852,0.5748306502946965,125.0,4.230650582724415,53.60553970191152,103.0,15.53542117438998,34.991177438167306,0.0,0.0,0.219192074959281,46.46200049616,32.53594755,36.91768691072199
2024-12-19,1009.612445758301,464.781322663639,528.8313228405519,0.0,0.0,528.8313228405519,0.460356173912407,0.5237963587536371,0.9841525326660441,21.552715445017576,-0.008854690541347243,0.0407415429197852,0.5748306502946965,125.0,4.230650582724415,53.60553970191152,103.0,15.53542117438998,34.991177438167306,0.0,0.0,0.21919207495928106,46.462000496159995,32.53594755,36.91768691072199
