,Int bearing amt,Non-IB cash,Total amt,No loans,Avg loan amt,Avg net AER,Blended LTV,Avg term,Max term,Avg ttm,Max ttm,Avg ext,Ext 90d,Non-perform,Long default,Short default,Int default
2023-08-09,1050.02,0.0,1050.02,112.0,9.375178571428572,0.0799999999999908,0.6509999999999829,23.999999999999982,24.0,23.718791064388945,21.5928462481682,,,0.1131978438505933,0.0,0.0,118.86
2023-09-03,1049.91,0.0,1049.91,116.0,9.050948275862073,0.0799999999999909,0.6469999999999825,23.999999999999982,24.0,22.897503285151096,20.845171516583427,,,0.1100094293796611,0.0,0.0,115.5
2023-10-15,1049.96,0.0,1049.96,100.0,10.499600000000004,0.0799999999999915,0.6469999999999851,23.999999999999982,24.0,21.51773981603152,19.58907796752101,,,0.0863747190369156,0.0,0.0,90.69
2023-11-25,1049.97,0.0,1049.97,100.0,10.499700000000002,0.0799999999999909,0.6429999999999844,23.999999999999982,24.0,20.17082785808145,18.362891407721985,,,0.0808213568006705,0.0,0.0,84.86
2023-12-22,1050.14,0.0,1050.14,98.0,10.715714285714284,0.0799999999999919,0.6400999999999827,23.999999999999982,24.0,19.28383705650458,17.555402697610432,,,0.1199268668939379,0.0,0.0,125.94
2024-03-23,1050.0500000000002,0.0,1050.0500000000002,126.0,8.274603174603175,0.07943240798056261,0.635558554354535,23.99999999999998,24.0,16.064388961892224,14.624517749798128,,0.48436741107566295,0.15151659444788337,0.0,0.0,159.09999999999997
