,Paid in capital,Distr capital,Int bearing,Non bearing,Accr int,Residual value,DPI,RVPI,TVPI,Inv mnths,TVPI CAGR,Net AER,Blended LTV,No loans,Avg loan amt,Avg term,Max term,Avg ttm,Max ttm,Avg ext,Ext 90d,Non-perform,Long default,Short default,Int default
2023-08-09,,,2050.0,28.17,,2078.17,,,,,,0.0734146341463402,0.660107317073169,31.0,66.12903225806451,13.481124946611033,20.7970562144758,4.777301334808768,11.783353769775998,,,0.073170731707317,100.0,50.0,0.0
2023-09-03,,,2050.0,28.17,,2078.17,,,,,,0.0742439024390232,0.6601317073170716,31.0,66.12903225806451,13.683181653908072,20.7970562144758,4.570799445963703,16.239495170021236,,,0.0975609756097561,100.0,100.0,0.0
2023-10-15,,,2043.56,11.05,,2054.61,,,,,,0.0774414844682787,0.6567572589011308,33.0,61.9260606060606,14.078268252705604,20.7970562144758,5.738906297381986,16.65819301970871,,,0.2048190412809019,100.0,318.56,0.0
2023-11-25,,,2053.02,10.39,,2063.41,,,,,,0.078546453517255,0.6561578494120835,33.0,62.21272727272727,14.154466522938735,20.7970562144758,5.643256599770366,13.96656398600353,,,0.2669335905154358,100.0,448.02,0.0
2023-12-22,,,2041.02,28.25,,2069.27,,,,,,0.0808548862823465,0.6555184113825422,35.0,58.31485714285714,14.16649335204261,20.7970562144758,6.713141519127048,13.159075275891976,,,0.3664932239762472,248.02,500.0,0.0
2024-03-31,,,1992.26,90.74,,2083.0,,,,,,0.0841205665927113,0.6611531868330409,33.0,60.37151515151516,14.395530467569206,22.604067417945263,8.58689670087006,18.60214732182911,0.0,0.0,0.5368375613624727,694.96,374.56,0.0
2024-06-30,,,1775.99,0.0,,1775.99,,,,,,0.0787223858242426,0.6208261183903041,30.0,59.199666666666666,14.359501358642827,22.604067417945263,7.197113409011763,15.850704309597154,0.0,0.0,0.6404427952860096,918.42,219.0,0.0
2024-08-03,,,1717.85,0.0,,1717.85,,,,,,0.0780916086969163,0.6201363204004987,30.0,57.26166666666667,14.668726119996274,22.604067417945263,6.080162029248294,14.833866674641865,0.0,0.0,0.628273714235818,979.28,100.0,0.0
2024-08-04,,,1717.85,0.0,,1717.85,,,,,,0.0780916086969163,0.6201363204004987,30.0,57.26166666666667,14.668726119996274,22.604067417945263,6.047310518078781,14.803959685378477,0.0,0.0,0.628273714235818,979.28,100.0,0.0
2024-09-22,2000.0,389.91,1603.7799999999995,0.0,0.0,1603.7799999999995,0.194955,0.8018899999999999,0.996845,25.06817360449453,-0.0015115255315258,0.0770751848757292,0.6161836399007331,28.0,57.27785714285714,14.79003250488044,22.604067417945263,5.9073327068389085,13.338517211472322,-0.3117634588285177,0.0,0.7071231715073142,1065.0700000000002,69.0,0.0
2024-12-19,2000.0,709.9899999999999,1440.27,0.0,0.0,1440.27,0.3549949999999999,0.720135,1.07513,27.959391530045668,0.0315798740840655,0.0777693071437975,0.6290616537177036,25.0,57.6108,14.548568759419323,22.604067417945263,3.929934486083498,10.706702156293929,-0.3471571302602984,0.0,0.7568372596804767,1010.61,79.44,0.0
2025-01-29,2000.0,827.1999999999999,1440.27,0.0,0.0,1440.27,0.41359999999999997,0.720135,1.133735,29.306436245359265,0.05273884453582811,0.07776930714379755,0.6290616537177036,25.0,57.6108,14.548568759419323,22.604067417945263,3.661274793031015,9.480515596494902,0.0,0.0,0.8262686857325362,1010.6099999999999,179.44,0.0
