platform_account_name,trx_date,trx_desc,trx_type,trx_amt
Invest & Fund,2023-11-10 11:39:59,Aspire Designer Homes (Medway) Ltd – Drawdown 4,I and F fee,-0.35
Invest & Fund,2023-11-10 11:39:59,Aspire Designer Homes (Medway) Ltd – Drawdown 4,Loan Repayment,43.75
Invest & Fund,2023-11-10 11:39:59,Aspire Designer Homes (Medway) Ltd – Drawdown 4,Loan Repayment Interest,3.22
Invest & Fund,2023-11-09 15:03:00,Nash Properties Ltd - Drawdown 3,Auction completion,-100.0
Invest & Fund,2023-11-07 11:20:57,SC Surbiton Limited (1) – Drawdown 10,Auction completion,-100.0
Invest & Fund,2023-10-31 14:31:56,Wold Top Developments Limited - Drawdown 4,I and F fee,-0.47
Invest & Fund,2023-10-31 14:31:56,Wold Top Developments Limited - Drawdown 4,Loan Repayment,56.74
Invest & Fund,2023-10-31 14:31:56,Wold Top Developments Limited - Drawdown 4,Loan Repayment Interest,4.13
Invest & Fund,2023-10-31 11:52:18,Wren Homes and Developments Ltd – Drawdown 3,I and F fee,-1.94
Invest & Fund,2023-10-31 11:52:18,Wren Homes and Developments Ltd – Drawdown 3,Loan Repayment,250.0
Invest & Fund,2023-10-31 11:52:18,Wren Homes and Developments Ltd – Drawdown 3,Loan Repayment Interest,16.87
Invest & Fund,2023-10-27 16:19:18,Skylark Build Ltd - Drawdown 17,Loan Repayment,4.91
Invest & Fund,2023-10-27 16:19:18,Skylark Build Ltd - Drawdown 17,Loan Repayment Interest,0.07
Invest & Fund,2023-10-27 16:04:46,Skylark Build Ltd - Drawdown 9,I and F fee,-0.04
Invest & Fund,2023-10-27 16:04:46,Skylark Build Ltd - Drawdown 9,Loan Repayment,7.36
Invest & Fund,2023-10-27 16:04:46,Skylark Build Ltd - Drawdown 9,Loan Repayment Interest,0.4
Invest & Fund,2023-10-16 16:46:36,Newfoundland Court Ltd – Drawdown 1,Auction completion,-150.0
Invest & Fund,2023-10-10 08:25:13,Christie Hurst Road Limited - Drawdown 5,Auction completion,-100.0
Invest & Fund,2023-10-06 14:28:07,MMS Developments Ltd – Drawdown 6,I and F fee,-1.03
Invest & Fund,2023-10-06 14:28:07,MMS Developments Ltd – Drawdown 6,Loan Repayment,140.05
Invest & Fund,2023-10-06 14:28:07,MMS Developments Ltd – Drawdown 6,Loan Repayment Interest,8.87
Invest & Fund,2023-10-03 14:18:42,MMS Developments Ltd – Drawdown 6,I and F fee,-0.24
Invest & Fund,2023-10-03 14:18:42,MMS Developments Ltd – Drawdown 6,Loan Repayment,33.76
Invest & Fund,2023-10-03 14:18:42,MMS Developments Ltd – Drawdown 6,Loan Repayment Interest,2.12
Invest & Fund,2023-09-29 15:38:14,Apus (Grendon) Ltd - Drawdown 4,I and F fee,-0.06
Invest & Fund,2023-09-29 15:38:14,Apus (Grendon) Ltd - Drawdown 4,Loan Repayment,8.39
Invest & Fund,2023-09-29 15:38:14,Apus (Grendon) Ltd - Drawdown 4,Loan Repayment Interest,0.59
Invest & Fund,2023-09-29 15:35:07,Apus (Grendon) Ltd - Drawdown 3,I and F fee,-0.06
Invest & Fund,2023-09-29 15:35:07,Apus (Grendon) Ltd - Drawdown 3,Loan Repayment,8.39
Invest & Fund,2023-09-29 15:35:07,Apus (Grendon) Ltd - Drawdown 3,Loan Repayment Interest,0.65
Invest & Fund,2023-09-29 15:08:49,Aspire Designer Homes (Medway) Ltd – Drawdown 4,I and F fee,-0.37
Invest & Fund,2023-09-29 15:08:49,Aspire Designer Homes (Medway) Ltd – Drawdown 4,Loan Repayment,51.6
Invest & Fund,2023-09-29 15:08:49,Aspire Designer Homes (Medway) Ltd – Drawdown 4,Loan Repayment Interest,3.36
Invest & Fund,2023-09-28 12:04:11,Skylark Build Ltd - Drawdown 17,Loan Repayment,7.94
Invest & Fund,2023-09-28 12:04:11,Skylark Build Ltd - Drawdown 17,Loan Repayment Interest,0.08
Invest & Fund,2023-09-28 11:48:33,Skylark Build Ltd - Drawdown 9,I and F fee,-0.06
Invest & Fund,2023-09-28 11:48:33,Skylark Build Ltd - Drawdown 9,Loan Repayment,11.9
Invest & Fund,2023-09-28 11:48:33,Skylark Build Ltd - Drawdown 9,Loan Repayment Interest,0.58
Invest & Fund,2023-09-27 11:29:33,Beaumaris Road Limited (2) – Drawdown 1,Auction completion,-200.0
Invest & Fund,2023-09-27 09:45:17,Beaumaris Road Limited - Drawdown 9,I and F fee,-0.02
Invest & Fund,2023-09-27 09:45:17,Beaumaris Road Limited - Drawdown 9,Loan Repayment,100.0
Invest & Fund,2023-09-27 09:45:17,Beaumaris Road Limited - Drawdown 9,Loan Repayment Interest,0.26
Invest & Fund,2023-09-26 09:10:47,Gable Construction (Southern) Limited – Drawdown 6,Auction completion,-100.0
Invest & Fund,2023-09-20 14:30:44,Airshack Projects Ltd (2) – Drawdown 1,I and F fee,-0.19
Invest & Fund,2023-09-20 14:30:44,Airshack Projects Ltd (2) – Drawdown 1,Loan Repayment,100.0
Invest & Fund,2023-09-20 14:30:44,Airshack Projects Ltd (2) – Drawdown 1,Loan Repayment Interest,1.96
Invest & Fund,2023-09-15 15:29:10,Apus (Grendon) Ltd - Drawdown 4,I and F fee,-0.32
Invest & Fund,2023-09-15 15:29:10,Apus (Grendon) Ltd - Drawdown 4,Loan Repayment,47.0
Invest & Fund,2023-09-15 15:29:09,Apus (Grendon) Ltd - Drawdown 4,Loan Repayment Interest,3.15
Invest & Fund,2023-09-15 15:27:18,Apus (Grendon) Ltd - Drawdown 3,I and F fee,-0.36
Invest & Fund,2023-09-15 15:27:18,Apus (Grendon) Ltd - Drawdown 3,Loan Repayment,47.0
Invest & Fund,2023-09-15 15:27:18,Apus (Grendon) Ltd - Drawdown 3,Loan Repayment Interest,3.49
Invest & Fund,2023-09-13 09:48:27,Beaumaris Road Limited - Drawdown 9,Auction completion,-100.0
Invest & Fund,2023-09-12 15:58:48,Skylark Build Ltd - Drawdown 17,Loan Repayment,4.94
Invest & Fund,2023-09-12 15:58:48,Skylark Build Ltd - Drawdown 17,Loan Repayment Interest,0.03
Invest & Fund,2023-09-12 15:46:24,Skylark Build Ltd - Drawdown 9,I and F fee,-0.03
Invest & Fund,2023-09-12 15:46:24,Skylark Build Ltd - Drawdown 9,Loan Repayment,7.42
Invest & Fund,2023-09-12 15:46:24,Skylark Build Ltd - Drawdown 9,Loan Repayment Interest,0.34
Invest & Fund,2023-09-11 11:39:12,Apus (Grendon) Ltd - Drawdown 4,I and F fee,-0.3
Invest & Fund,2023-09-11 11:39:12,Apus (Grendon) Ltd - Drawdown 4,Loan Repayment,44.61
Invest & Fund,2023-09-11 11:39:12,Apus (Grendon) Ltd - Drawdown 4,Loan Repayment Interest,2.92
Invest & Fund,2023-09-11 11:38:02,Apus (Grendon) Ltd - Drawdown 3,I and F fee,-0.33
Invest & Fund,2023-09-11 11:38:02,Apus (Grendon) Ltd - Drawdown 3,Loan Repayment,44.61
Invest & Fund,2023-09-11 11:38:02,Apus (Grendon) Ltd - Drawdown 3,Loan Repayment Interest,3.25
Invest & Fund,2023-09-07 15:11:38,NRP Diggle Ltd (3) – Drawdown 1,Auction completion,-150.0
Invest & Fund,2023-09-06 20:11:16,Skylark Build Ltd - Drawdown 17,Loan Repayment,8.14
Invest & Fund,2023-09-06 20:11:16,Skylark Build Ltd - Drawdown 17,Loan Repayment Interest,0.04
Invest & Fund,2023-09-06 20:01:59,Skylark Build Ltd - Drawdown 9,I and F fee,-0.06
Invest & Fund,2023-09-06 20:01:59,Skylark Build Ltd - Drawdown 9,Loan Repayment,12.21
Invest & Fund,2023-09-06 20:01:59,Skylark Build Ltd - Drawdown 9,Loan Repayment Interest,0.54
Invest & Fund,2023-09-01 16:05:50,Wold Top Developments Limited - Drawdown 4,I and F fee,-0.42
Invest & Fund,2023-09-01 16:05:50,Wold Top Developments Limited - Drawdown 4,Loan Repayment,59.92
Invest & Fund,2023-09-01 16:05:50,Wold Top Developments Limited - Drawdown 4,Loan Repayment Interest,3.67
Invest & Fund,2023-08-31 15:20:09,Skylark Build Ltd - Drawdown 17,Loan Repayment,5.44
Invest & Fund,2023-08-31 15:20:09,Skylark Build Ltd - Drawdown 17,Loan Repayment Interest,0.02
Invest & Fund,2023-08-31 15:12:15,Skylark Build Ltd - Drawdown 9,I and F fee,-0.03
Invest & Fund,2023-08-31 15:12:15,Skylark Build Ltd - Drawdown 9,Loan Repayment,8.16
Invest & Fund,2023-08-31 15:12:15,Skylark Build Ltd - Drawdown 9,Loan Repayment Interest,0.35
Invest & Fund,2023-08-30 12:45:22,Skylark Build Ltd - Drawdown 17,Loan Repayment,5.05
Invest & Fund,2023-08-30 12:45:22,Skylark Build Ltd - Drawdown 17,Loan Repayment Interest,0.02
Invest & Fund,2023-08-30 12:38:06,Skylark Build Ltd - Drawdown 9,I and F fee,-0.03
Invest & Fund,2023-08-30 12:38:06,Skylark Build Ltd - Drawdown 9,Loan Repayment,7.58
Invest & Fund,2023-08-30 12:38:06,Skylark Build Ltd - Drawdown 9,Loan Repayment Interest,0.33
Invest & Fund,2023-08-11 08:55:14,AH2 Ogwen Hall Limited - Drawdown 2,I and F fee,-0.19
Invest & Fund,2023-08-11 08:55:14,AH2 Ogwen Hall Limited - Drawdown 2,Loan Repayment,29.4
Invest & Fund,2023-08-11 08:55:14,AH2 Ogwen Hall Limited - Drawdown 2,Loan Repayment Interest,1.8
Invest & Fund,2023-08-09 10:05:49,MMS Developments Ltd – Drawdown 6,I and F fee,-0.15
Invest & Fund,2023-08-09 10:05:49,MMS Developments Ltd – Drawdown 6,Loan Repayment,26.19
Invest & Fund,2023-08-09 10:05:49,MMS Developments Ltd – Drawdown 6,Loan Repayment Interest,1.37
Invest & Fund,2023-08-08 11:23:55,Skylark Build Ltd - Drawdown 17,Auction completion,-100.0
Invest & Fund,2023-08-07 13:58:39,AH2 Ogwen Hall Limited - Drawdown 2,I and F fee,-0.29
Invest & Fund,2023-08-07 13:58:39,AH2 Ogwen Hall Limited - Drawdown 2,Loan Repayment,45.54
Invest & Fund,2023-08-07 13:58:39,AH2 Ogwen Hall Limited - Drawdown 2,Loan Repayment Interest,2.72
Invest & Fund,2023-08-03 11:16:43,AH2 Ogwen Hall Limited - Drawdown 2,I and F fee,-0.16
Invest & Fund,2023-08-03 11:16:43,AH2 Ogwen Hall Limited - Drawdown 2,Loan Repayment,25.06
Invest & Fund,2023-08-03 11:16:43,AH2 Ogwen Hall Limited - Drawdown 2,Loan Repayment Interest,1.49
Invest & Fund,2023-07-24 13:03:17,Airshack Projects 359 Limited (2) – Drawdown 1,Auction completion,-100.0
Invest & Fund,2023-07-24 10:23:12,Airshack Projects 359 Limited – Drawdown 3,I and F fee,-0.61
Invest & Fund,2023-07-24 10:23:12,Airshack Projects 359 Limited – Drawdown 3,Loan Repayment,100.0
Invest & Fund,2023-07-24 10:23:12,Airshack Projects 359 Limited – Drawdown 3,Loan Repayment Interest,5.68
Invest & Fund,2023-06-22 13:59:30,Rainworth Developments 2021 Limited (3) – Drawdown 1,Auction completion,-200.0
Invest & Fund,2023-06-22 10:01:07,Rainworth Developments 2021 Limited (1) – Drawdown 8,I and F fee,-1.0
Invest & Fund,2023-06-22 10:01:07,Rainworth Developments 2021 Limited (1) – Drawdown 8,Loan Repayment,200.0
Invest & Fund,2023-06-22 10:01:06,Rainworth Developments 2021 Limited (1) – Drawdown 8,Loan Repayment Interest,8.75
Invest & Fund,2023-06-22 08:06:29,SNV Construction Limited (2) – Drawdown 1,Auction completion,-250.0
Invest & Fund,2023-06-21 15:34:13,SNV Construction Limited – Drawdown 14,I and F fee,-0.65
Invest & Fund,2023-06-21 15:34:13,SNV Construction Limited – Drawdown 14,Loan Repayment,250.0
Invest & Fund,2023-06-21 15:34:13,SNV Construction Limited – Drawdown 14,Loan Repayment Interest,5.57
Invest & Fund,2023-06-20 14:23:45,Airshack Projects Ltd (2) – Drawdown 1,Auction completion,-100.0
Invest & Fund,2023-06-20 10:45:56,Airshack Projects Ltd – Drawdown 3,I and F fee,-0.55
Invest & Fund,2023-06-20 10:45:56,Airshack Projects Ltd – Drawdown 3,Loan Repayment,100.0
Invest & Fund,2023-06-20 10:45:56,Airshack Projects Ltd – Drawdown 3,Loan Repayment Interest,5.01
Invest & Fund,2023-05-17 15:03:58,Hawfinch Homes Limited – Drawdown 8,Auction completion,-100.0
Invest & Fund,2023-05-15 14:53:47,BK Grove Limited – Drawdown 9,I and F fee,-0.46
Invest & Fund,2023-05-15 14:53:47,BK Grove Limited – Drawdown 9,Loan Repayment,100.0
Invest & Fund,2023-05-15 14:53:47,BK Grove Limited – Drawdown 9,Loan Repayment Interest,4.07
Invest & Fund,2023-02-17 10:28:58,SNV Construction Limited – Drawdown 14,Auction completion,-250.0
Invest & Fund,2023-02-16 16:45:23,Badminton Developments Limited – Drawdown 3 Ref: 212253,Loan Repayment Interest,4.77
Invest & Fund,2023-02-16 16:45:23,Badminton Developments Limited – Drawdown 3,I and F fee,-0.5
Invest & Fund,2023-02-16 16:45:23,Badminton Developments Limited – Drawdown 3 Ref: 212253,Loan Repayment,250.0
Invest & Fund,2023-01-18 10:13:39,Skylark Build Ltd - Drawdown 9,Auction completion,-150.0
Invest & Fund,2022-12-29 11:52:56,B K Westward Limited – Drawdown 11,I and F fee,-0.16
Invest & Fund,2022-12-29 11:52:56,B K Westward Limited – Drawdown 11,Loan Repayment,100.0
Invest & Fund,2022-12-29 11:52:56,B K Westward Limited – Drawdown 11,Loan Repayment Interest,1.47
Invest & Fund,2022-11-11 10:11:25,Badminton Developments Limited – Drawdown 3,Auction completion,-250.0
Invest & Fund,2022-11-11 09:42:22,Gallypot Woods Development Limited - Drawdown 6,Auction completion,-200.0
Invest & Fund,2022-11-11 09:21:17,Wren Homes and Developments Ltd – Drawdown 3,Auction completion,-250.0
Invest & Fund,2022-11-10 09:33:27,The Old Grain Store (Maidstone) Limited – Drawdown 5,Auction completion,-150.0
Invest & Fund,2022-11-03 08:39:56,Aspire Designer Homes (Medway) Ltd – Drawdown 4,Auction completion,-250.0
Invest & Fund,2022-11-02 09:54:33,Apus (Grendon) Ltd - Drawdown 4,Auction completion,-100.0
Invest & Fund,2022-11-02 09:36:45,MMS Developments Ltd – Drawdown 6,Auction completion,-200.0
Invest & Fund,2022-10-31 09:48:13,Rainworth Developments 2021 Limited (1) – Drawdown 8,Auction completion,-200.0
Invest & Fund,2022-10-14 12:34:06,Wold Top Developments Limited - Drawdown 4,Auction completion,-150.0
Invest & Fund,2022-10-14 09:37:26,Airshack Projects 359 Limited – Drawdown 3,Auction completion,-100.0
Invest & Fund,2022-10-11 10:47:57,AH2 Ogwen Hall Limited - Drawdown 2,Auction completion,-100.0
Invest & Fund,2022-10-11 09:52:22,BK Grove Limited – Drawdown 9,Auction completion,-100.0
Invest & Fund,2022-10-11 09:26:35,B K Westward Limited – Drawdown 11,Auction completion,-100.0
Invest & Fund,2022-10-11 08:23:11,The Old Grain Store (Maidstone) Limited – Drawdown 4,Auction completion,-100.0
Invest & Fund,2022-10-06 13:20:39,Airshack Projects Ltd – Drawdown 3,Auction completion,-100.0
Invest & Fund,2022-09-30 09:46:37,Apus (Grendon) Ltd - Drawdown 3,Auction completion,-100.0
Invest & Fund,2022-08-22 14:36:18,,Deposit,2500.0
