platform_account_name,trx_date,trx_desc,trx_type,trx_amt
Invest & Fund,2024-04-26 13:33:44,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,Loan Repayment Interest,0.9
Invest & Fund,2024-04-25 17:15:49,Skylark Build Ltd - Drawdown 17,I and F fee,-0.02
Invest & Fund,2024-04-25 17:15:49,Skylark Build Ltd - Drawdown 17,Loan Repayment,4.82
Invest & Fund,2024-04-25 17:15:49,Skylark Build Ltd - Drawdown 17,Loan Repayment Interest,0.24
Invest & Fund,2024-04-24 15:12:15,Skylark Build Ltd - Drawdown 9,I and F fee,-0.07
Invest & Fund,2024-04-24 15:12:15,Skylark Build Ltd - Drawdown 9,Loan Repayment,7.23
Invest & Fund,2024-04-24 15:12:15,Skylark Build Ltd - Drawdown 9,Loan Repayment Interest,0.66
Invest & Fund,2024-04-05 11:19:25,NRP Diggle Ltd (5) – Drawdown 1,Auction completion,-200.0
Invest & Fund,2024-04-05 09:03:37,NRP Diggle Ltd (3) – Drawdown 1,I and F fee,-0.68
Invest & Fund,2024-04-05 09:03:37,NRP Diggle Ltd (3) – Drawdown 1,Loan Repayment,150.0
Invest & Fund,2024-04-05 09:03:37,NRP Diggle Ltd (3) – Drawdown 1,Loan Repayment Interest,7.03
Invest & Fund,2024-03-28 09:45:19,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,I and F fee,-0.11
Invest & Fund,2024-03-28 09:45:19,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,Loan Repayment,54.42
Invest & Fund,2024-03-28 09:45:19,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,Loan Repayment Interest,1.16
Invest & Fund,2024-03-22 16:24:04,SNV Construction Limited (4) – Drawdown 1,Loan Repayment,14.4
Invest & Fund,2024-03-22 16:24:04,SNV Construction Limited (4) – Drawdown 1,Loan Repayment Interest,0.09
Invest & Fund,2024-03-22 13:33:39,Tredown Barns Developments Limited (3) – Drawdown 1,Auction completion,-100.0
Invest & Fund,2024-03-21 12:18:56,Rainworth Developments 2021 Limited (3) – Drawdown 1,I and F fee,-0.01
Invest & Fund,2024-03-21 12:18:56,Rainworth Developments 2021 Limited (3) – Drawdown 1,Loan Repayment,1.87
Invest & Fund,2024-03-21 12:18:56,Rainworth Developments 2021 Limited (3) – Drawdown 1,Loan Repayment Interest,0.11
Invest & Fund,2024-03-18 16:14:48,SNV Construction Limited (4) – Drawdown 1,Loan Repayment,13.43
Invest & Fund,2024-03-18 16:14:48,SNV Construction Limited (4) – Drawdown 1,Loan Repayment Interest,0.06
Invest & Fund,2024-03-08 09:02:00,Alpine Homes Peterkins Limited – Drawdown 8,Auction completion,-100.0
Invest & Fund,2024-03-04 11:52:49,Airshack Projects 359 Limited (2) – Drawdown 1,I and F fee,-0.04
Invest & Fund,2024-03-04 11:52:49,Airshack Projects 359 Limited (2) – Drawdown 1,Loan Repayment,9.41
Invest & Fund,2024-03-04 11:52:49,Airshack Projects 359 Limited (2) – Drawdown 1,Loan Repayment Interest,0.45
Invest & Fund,2024-03-01 11:49:55,Airshack Projects 359 Limited (2) – Drawdown 1,I and F fee,-0.43
Invest & Fund,2024-03-01 11:49:55,Airshack Projects 359 Limited (2) – Drawdown 1,Loan Repayment,90.59
Invest & Fund,2024-03-01 11:49:55,Airshack Projects 359 Limited (2) – Drawdown 1,Loan Repayment Interest,4.3
Invest & Fund,2024-02-28 12:18:02,Witley Homes (Portway) Limited (2) – Drawdown 7,Auction completion,-100.0
Invest & Fund,2024-02-23 12:28:43,Hawfinch Homes Limited – Drawdown 8,I and F fee,-0.24
Invest & Fund,2024-02-23 12:28:43,Hawfinch Homes Limited – Drawdown 8,Loan Repayment,40.87
Invest & Fund,2024-02-23 12:28:43,Hawfinch Homes Limited – Drawdown 8,Loan Repayment Interest,2.23
Invest & Fund,2024-02-22 16:38:41,SNV Construction Limited (4) – Drawdown 1,Auction completion,-250.0
Invest & Fund,2024-02-22 10:19:54,SNV Construction Limited (2) – Drawdown 1,I and F fee,-1.08
Invest & Fund,2024-02-22 10:19:54,SNV Construction Limited (2) – Drawdown 1,Loan Repayment,204.46
Invest & Fund,2024-02-22 10:19:54,SNV Construction Limited (2) – Drawdown 1,Loan Repayment Interest,10.84
Invest & Fund,2024-02-21 11:04:46,Wold Top Developments Limited (2) - Drawdown 1,I and F fee,-0.15
Invest & Fund,2024-02-21 11:04:46,Wold Top Developments Limited (2) - Drawdown 1,Loan Repayment,115.34
Invest & Fund,2024-02-21 11:04:46,Wold Top Developments Limited (2) - Drawdown 1,Loan Repayment Interest,1.56
Invest & Fund,2024-02-16 15:22:57,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,I and F fee,-0.06
Invest & Fund,2024-02-16 15:22:57,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,Loan Repayment,54.31
Invest & Fund,2024-02-16 15:22:57,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,Loan Repayment Interest,0.68
Invest & Fund,2024-02-14 09:15:19,Nash Properties Ltd - Drawdown 5,Auction completion,-100.0
Invest & Fund,2024-02-05 12:26:00,Alpine Homes Fruit Market Ltd (2) – Drawdown 11,Auction completion,-100.0
Invest & Fund,2024-02-02 14:11:00,Witley Homes (Portway) Limited (2) – Drawdown 6,Auction completion,-100.0
Invest & Fund,2024-01-09 16:14:01,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,I and F fee,-0.02
Invest & Fund,2024-01-09 16:14:01,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,Loan Repayment,59.25
Invest & Fund,2024-01-09 16:14:01,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,Loan Repayment Interest,0.25
Invest & Fund,2023-12-21 17:50:22,Skylark Build Ltd - Drawdown 17,I and F fee,-0.02
Invest & Fund,2023-12-21 17:50:22,Skylark Build Ltd - Drawdown 17,Loan Repayment,7.33
