Loan ID,Borrower ID,Security value,Loan amount,Loan to value,Maturity,Your investment,Percentage of loanbook,Loan status,Loan Risk Category,Truncated Loan ID,Loan Parts in Loan,Original maturity date,Maturity date extended
9255922,8519150,"£265,000","£87,000",32.83%,05 Mar 2025,£4.812840,0.08%,Extended (No ICF),1,9255922,1,05/03/2024,365
9352668,8372468,"£685,000","£250,000",49.93%,13 Feb 2025,£13.830000,0.24%,Extended (No ICF),2,9352668,3,13/02/2024,366
9502673,8770425,"£680,000","£250,000",50.00%,14 May 2025,£13.830000,0.24%,Extended (No ICF),2,9502673,3,14/02/2024,455
9854106 b,8152787,"£3,480,401","£300,000",46.37%,22 Jun 2025,£16.596000,0.29%,Extended (No ICF),4,9854106,3,22/12/2023,548
9591028,8210464,"£400,000","£165,000",48.75%,18 May 2025,£9.127800,0.16%,Extended (No ICF),2,9591028,2,18/05/2024,365
9833231,8124451,"£760,000","£315,000",41.45%,01 Jun 2025,£17.425800,0.30%,Extended (No ICF),2,9833231,1,01/06/2024,365
9225128,8520081,"£525,000","£261,000",49.71%,17 Apr 2025,£14.438520,0.25%,Extended (No ICF),2,9225128,1,17/04/2024,365
9224661,8711007,"£1,407,098","£275,000",48.89%,27 Jun 2025,£15.213000,0.27%,Extended (No ICF),2,9224661,9,27/06/2024,365
9530969,8432575,"£450,000","£221,250",49.17%,20 Mar 2025,£12.239550,0.21%,Extended (No ICF),2,9530969,1,20/06/2024,273
9352668 b,8372468,"£685,000","£57,000",49.93%,13 Feb 2025,£3.153240,0.06%,Extended (No ICF),2,9352668,3,13/02/2024,366
9502673 b,8770425,"£680,000","£33,000",50.00%,14 May 2025,£1.825560,0.03%,Extended (No ICF),2,9502673,3,14/02/2024,455
9839202,8611535,"£700,000","£350,000",50.00%,27 May 2025,£19.362000,0.34%,Extended (No ICF),2,9839202,1,27/05/2024,365
9931219,8517698,"£600,000","£300,000",50.00%,24 Jan 2025,£16.596000,0.29%,Extended (No ICF),2,9931219,1,24/07/2024,184
9619207,8108866,"£1,057,000","£394,480",37.32%,20 Feb 2025,£21.822633,0.38%,Extended (No ICF),2,9619207,1,20/08/2024,184
9580956,8884054,"£915,000","£457,500",50.00%,13 Jan 2025,£25.308900,0.44%,Extended (No ICF),2,9580956,1,13/10/2023,458
9475401,8161341,"£1,300,000","£650,000",50.00%,31 Dec 2024,£35.958000,0.63%,Extended (No ICF),2,9475401,1,30/08/2024,123
9245850,8824575,"£1,590,000","£545,000",34.28%,11 Sep 2025,£30.149400,0.53%,Live,1,9245850,1,11/09/2025,0
9975478,8202679,"£675,000","£240,000",46.67%,07 Jan 2025,£13.276800,0.23%,Extended (No ICF),2,9975478,2,07/09/2024,122
9348328,8879852,"£800,000","£344,000",43.00%,01 Mar 2025,£19.030080,0.33%,Extended (No ICF),2,9348328,1,01/03/2024,365
9725716 b,8862114,"£2,478,340","£200,000",43.54%,29 Jan 2025,£11.064000,0.19%,Extended (No ICF),4,9725716,2,29/07/2023,550
9292092,8108866,"£1,235,000","£295,627",23.94%,03 May 2025,£16.354099,0.29%,Extended (No ICF),1,9292092,1,03/07/2024,304
9693700,8915555,"£580,000","£290,000",50.00%,25 Jan 2025,£16.042800,0.28%,Extended (No ICF),2,9693700,1,25/10/2024,92
9503158,8517698,"£700,000","£350,000",50.00%,30 Apr 2025,£19.362000,0.34%,Extended (No ICF),2,9503158,1,30/10/2024,182
9706937,8525525,"£620,000","£250,000",40.32%,01 May 2025,£13.830000,0.24%,Extended (No ICF),2,9706937,1,01/11/2024,181
9776405,8198994,"£3,750,000","£1,147,950",30.61%,01 May 2025,£63.504594,1.11%,Extended (No ICF),1,9776405,1,01/11/2024,181
9502673 c,8770425,"£680,000","£57,000",50.00%,14 May 2025,£3.153240,0.06%,Extended (No ICF),2,9502673,3,14/02/2024,455
9352668 c,8372468,"£685,000","£35,000",49.93%,13 Feb 2025,£1.936200,0.03%,Extended (No ICF),2,9352668,3,13/02/2024,366
9919857,8755537,"£4,599,864","£1,296,375",45.91%,14 Nov 2025,£71.715465,1.25%,Extended (No ICF),4,9919857,12,14/11/2024,365
9606550,8681445,"£1,500,000","£750,000",50.00%,27 Nov 2025,£41.490000,0.73%,Extended (No ICF),2,9606550,1,27/11/2024,365
9982187,8190774,"£2,710,000","£1,100,000",49.63%,27 May 2025,£60.852000,1.06%,Extended (No ICF),2,9982187,2,27/11/2024,181
9231198,8441991,"£2,245,087","£855,000",49.74%,29 May 2025,£47.298600,0.83%,Live,4,9231198,6,29/05/2025,0
9134273,8786287,"£830,000","£267,500",49.10%,29 Aug 2025,£14.798100,0.26%,Extended (No ICF),2,9134273,2,29/11/2024,273
9854106 c,8152787,"£3,480,401","£170,000",46.37%,22 Jun 2025,£9.404400,0.16%,Extended (No ICF),4,9854106,3,22/12/2023,548
9667624,8202679,"£630,000","£270,000",47.62%,13 Mar 2025,£14.936400,0.26%,Extended (No ICF),2,9667624,2,13/12/2024,90
9915852,8490291,"£1,175,000","£368,500",37.74%,29 Dec 2024,£20.385420,0.36%,Extended (No ICF),2,9915852,2,29/11/2024,30
9788272,8449424,"£570,000","£285,000",50.00%,20 Jun 2025,£15.766200,0.28%,Extended (No ICF),2,9788272,1,20/12/2024,182
9919857 b,8755537,"£4,599,864","£37,000",45.91%,14 Nov 2025,£2.046840,0.04%,Extended (No ICF),4,9919857,12,14/11/2024,365
9306298,8959529,"£450,000","£225,000",50.00%,16 Jun 2025,£12.447000,0.22%,Extended (No ICF),2,9306298,1,16/12/2024,182
9190002,8858477,"£965,000","£360,000",37.31%,29 Jan 2025,£19.915200,0.35%,Live,2,9190002,1,29/01/2025,0
9910513,8703678,"£450,000","£225,000",50.00%,29 Jan 2025,£12.447000,0.22%,Live,2,9910513,1,29/01/2025,0
9455573,8556729,"£500,000","£250,000",50.00%,30 Jun 2025,£13.830000,0.24%,Extended (No ICF),2,9455573,1,30/12/2024,182
9645647,8666945,"£545,750","£234,000",46.54%,01 Feb 2025,£12.944880,0.23%,Live,2,9645647,2,01/02/2025,0
9741403,8632805,"£650,000","£225,000",50.00%,01 Jul 2025,£12.447000,0.22%,Extended (No ICF),2,9741403,3,01/01/2025,181
9139612 b,8728067,"£2,050,000","£50,000",39.15%,24 May 2025,£2.766000,0.05%,Extended (No ICF),2,9139612,3,24/08/2023,639
9627869,8874957,"£1,200,000","£525,000",46.67%,06 Feb 2025,£29.043000,0.51%,Live,2,9627869,2,06/02/2025,0
9271056,8396900,"£280,000","£140,000",50.00%,19 Feb 2025,£7.744800,0.14%,Extended (No ICF),2,9271056,1,19/05/2024,276
9455066 b,8587271,"£980,000","£50,000",49.95%,22 Dec 2024,£2.766000,0.05%,Extended (No ICF),2,9455066,6,22/06/2024,183
9759623 b,8593913,"£1,528,282","£125,000",49.57%,18 May 2025,£6.915000,0.12%,Extended (No ICF),2,9759623,4,18/05/2024,365
9918722,8793461,"£250,000","£112,500",45.00%,23 Jan 2025,£6.223500,0.11%,Live,2,9918722,1,23/01/2025,0
9540385,8620141,"£630,000","£235,000",50.00%,14 Feb 2025,£13.000200,0.23%,Live,2,9540385,2,14/02/2025,0
9121976,8127987,"£475,000","£237,500",50.00%,14 Feb 2025,£13.138500,0.23%,Live,2,9121976,1,14/02/2025,0
9308782,8637941,"£285,000","£142,500",50.00%,18 Feb 2025,£7.883100,0.14%,Live,2,9308782,1,18/02/2025,0
9231198 b,8441991,"£2,245,087","£80,000",49.74%,29 May 2025,£4.425600,0.08%,Live,4,9231198,6,29/05/2025,0
9514443,8418494,"£1,500,000","£600,000",50.00%,20 Jan 2025,£33.192000,0.58%,Live,2,9514443,5,20/01/2025,0
9664424,8978473,"£1,670,000","£835,000",50.00%,20 Jan 2025,£46.192200,0.81%,Live,2,9664424,1,20/01/2025,0
9281955,8119838,"£1,021,130","£400,000",47.99%,21 Feb 2025,£22.128000,0.39%,Live,2,9281955,3,21/02/2025,0
9173264,8630405,"£1,650,000","£400,000",49.70%,21 Jan 2025,£22.128000,0.39%,Live,2,9173264,4,21/01/2025,0
9173264 b,8630405,"£1,650,000","£350,000",49.70%,21 Jan 2025,£19.362000,0.34%,Live,2,9173264,4,21/01/2025,0
9430662,8381602,"£855,000","£400,000",49.71%,27 Feb 2025,£22.128000,0.39%,Live,2,9430662,2,27/02/2025,0
9282256,8592449,"£550,000","£250,000",45.45%,13 Feb 2025,£13.830000,0.24%,Live,2,9282256,1,13/02/2025,0
9919857 c,8755537,"£4,599,864","£125,000",45.91%,14 Nov 2025,£6.915000,0.12%,Extended (No ICF),4,9919857,12,14/11/2024,365
9591028 b,8210464,"£400,000","£30,000",48.75%,18 May 2025,£1.659600,0.03%,Extended (No ICF),2,9591028,2,18/05/2024,365
9455066 c,8587271,"£980,000","£100,000",49.95%,22 Dec 2024,£5.532000,0.10%,Extended (No ICF),2,9455066,6,22/06/2024,183
9617357,8163702,"£855,000","£370,000",43.27%,26 Feb 2025,£20.468400,0.36%,Live,2,9617357,1,26/02/2025,0
9915852 b,8490291,"£1,175,000","£75,000",37.74%,29 Dec 2024,£4.149000,0.07%,Extended (No ICF),2,9915852,2,29/11/2024,30
9224661 b,8711007,"£1,407,098","£60,000",48.89%,27 Jun 2025,£3.319200,0.06%,Extended (No ICF),2,9224661,9,27/06/2024,365
9207489,8920828,"£825,000","£375,000",49.70%,12 Feb 2025,£20.745000,0.36%,Live,2,9207489,2,12/02/2025,0
9173264 c,8630405,"£1,650,000","£35,000",49.70%,21 Jan 2025,£1.936200,0.03%,Live,2,9173264,4,21/01/2025,0
