Loan ID,Borrower ID,Security value,Loan amount,Loan to value,Maturity,Your investment,Percentage of loanbook,Loan status,Loan Risk Category,Truncated Loan ID,Loan Parts in Loan,Original maturity date,Maturity date extended
9910181 b,8824575,"£1,639,520","£150,000",48.79%,12 May 2025,£8.298000,0.15%,Extended (No ICF),2,9910181,3,12/11/2024,181
9598100,8306911,"£535,000","£187,000",49.91%,27 May 2025,£10.344840,0.18%,Live,2,9598100,4,27/05/2025,0
9794757,8306911,"£480,000","£190,000",50.00%,26 May 2025,£10.510800,0.18%,Live,2,9794757,3,26/05/2025,0
9777424,8141817,"£525,000","£255,000",48.57%,27 Dec 2024,£14.106600,0.25%,Live,2,9777424,1,27/12/2024,0
9492038,8283622,"£575,000","£135,000",50.00%,27 Jun 2025,£7.468200,0.13%,Live,2,9492038,2,27/06/2025,0
9803070,8628330,"£850,000","£425,000",50.00%,01 Jun 2025,£23.511000,0.41%,Live,2,9803070,1,01/06/2025,0
9919857 g,8755537,"£4,599,864","£95,000",45.91%,14 Nov 2025,£5.255400,0.09%,Extended (No ICF),4,9919857,12,14/11/2024,365
9231198 d,8441991,"£2,245,087","£43,000",49.74%,29 May 2025,£2.378760,0.04%,Live,4,9231198,6,29/05/2025,0
9835573,8625796,"£1,150,000","£575,000",50.00%,03 Apr 2025,£31.809000,0.56%,Live,2,9835573,1,03/04/2025,0
9376454,8594782,"£975,000","£412,500",42.31%,04 Jul 2025,£22.819500,0.40%,Live,2,9376454,1,04/07/2025,0
9224661 f,8711007,"£1,407,098","£35,000",48.89%,27 Jun 2025,£1.936200,0.03%,Extended (No ICF),2,9224661,9,27/12/2024,182
9492038 b,8283622,"£575,000","£152,500",50.00%,27 Jun 2025,£8.436300,0.15%,Live,2,9492038,2,27/06/2025,0
9397094,8503408,"£2,945,000","£1,000,000",47.37%,11 Apr 2025,£55.320000,0.97%,Live,4,9397094,2,11/04/2025,0
9394931,8553615,"£610,000","£228,750",37.50%,15 Jul 2025,£12.654450,0.22%,Live,2,9394931,1,15/07/2025,0
9553782 c,8132827,"£1,780,000","£25,000",31.01%,23 Apr 2025,£1.383000,0.02%,Live,1,9553782,4,23/04/2025,0
9775456 d,8837730,"£2,323,523","£27,500",33.46%,02 May 2025,£1.521300,0.03%,Live,3,9775456,6,02/05/2025,0
9397094 b,8503408,"£2,945,000","£395,000",47.37%,11 Apr 2025,£21.851400,0.38%,Live,4,9397094,2,11/04/2025,0
9367916,8962232,"£525,000","£80,000",15.24%,22 Jun 2025,£4.425600,0.08%,Live,2,9367916,1,22/06/2025,0
9297967,8452644,"£500,000","£237,000",47.40%,23 Jul 2025,£13.110840,0.23%,Live,2,9297967,1,23/07/2025,0
9919857 h,8755537,"£4,599,864","£65,000",45.91%,14 Nov 2025,£3.595800,0.06%,Extended (No ICF),4,9919857,12,14/11/2024,365
9679113,8885184,"£1,000,000","£187,000",49.70%,29 Jun 2025,£10.344840,0.18%,Live,2,9679113,5,29/06/2025,0
9615559 c,8362045,"£674,750","£25,000",49.35%,22 May 2025,£1.383000,0.02%,Live,2,9615559,6,22/05/2025,0
9280923 c,8568034,"£610,000","£65,000",49.59%,08 Apr 2025,£3.595800,0.06%,Live,2,9280923,3,08/04/2025,0
9997120,8147568,"£1,390,000","£610,000",48.13%,30 Jun 2025,£33.745200,0.59%,Live,2,9997120,2,30/06/2025,0
9867335 c,8339863,"£575,000","£20,000",50.00%,23 May 2025,£1.106400,0.02%,Live,2,9867335,3,23/05/2025,0
9495342 c,8945882,"£1,430,000","£60,000",49.65%,18 Apr 2025,£3.319200,0.06%,Live,2,9495342,3,18/04/2025,0
9649464,8737542,"£600,000","£300,000",50.00%,05 Jul 2025,£16.596000,0.29%,Live,2,9649464,1,05/07/2025,0
9190881 b,8404433,"£485,000","£37,000",49.90%,07 Mar 2025,£2.046840,0.04%,Live,2,9190881,2,07/03/2025,0
9540385 b,8620141,"£630,000","£80,000",50.00%,14 Feb 2025,£4.425600,0.08%,Live,2,9540385,2,14/02/2025,0
9502144,8705562,"£368,000","£184,000",50.00%,11 Jan 2026,£10.178880,0.18%,Live,3,9502144,1,11/01/2026,0
9224661 g,8711007,"£1,407,098","£55,000",48.89%,27 Jun 2025,£3.042600,0.05%,Extended (No ICF),2,9224661,9,27/12/2024,182
9486370,8625018,"£3,000,000","£1,425,000",47.50%,20 Sep 2025,£78.831000,1.38%,Live,2,9486370,1,20/09/2025,0
9751192,8425041,"£650,000","£225,000",50.00%,13 Jul 2025,£12.447000,0.22%,Live,2,9751192,4,13/07/2025,0
9377641 b,8143083,"£750,000","£35,000",50.00%,20 May 2025,£1.936200,0.03%,Live,2,9377641,3,20/05/2025,0
9142719 b,8491485,"£400,000","£36,500",50.00%,19 May 2025,£2.019180,0.04%,Live,2,9142719,2,19/05/2025,0
9679113 b,8885184,"£1,000,000","£75,000",49.70%,29 Jun 2025,£4.149000,0.07%,Live,2,9679113,5,29/06/2025,0
9679391 b,8580659,"£685,000","£85,000",48.18%,12 Mar 2025,£4.702200,0.08%,Live,2,9679391,2,12/03/2025,0
9514443 b,8418494,"£1,500,000","£60,000",50.00%,20 Jan 2025,£3.319200,0.06%,Live,2,9514443,5,20/01/2025,0
9307914 b,8388531,"£475,000","£52,500",50.00%,03 Apr 2025,£2.904300,0.05%,Extended (No ICF),2,9307914,2,03/10/2024,182
9375098,8631009,"£420,000","£176,500",42.02%,24 Jul 2025,£9.763980,0.17%,Live,2,9375098,1,24/07/2025,0
9848278,8912174,"£1,240,000","£150,000",33.23%,15 Jul 2025,£8.298000,0.15%,Live,1,9848278,3,15/07/2025,0
9982187 b,8190774,"£2,710,000","£245,000",49.63%,27 May 2025,£13.553400,0.24%,Extended (No ICF),2,9982187,2,27/11/2024,181
9919857 i,8755537,"£4,599,864","£65,000",45.91%,14 Nov 2025,£3.595800,0.06%,Extended (No ICF),4,9919857,12,14/11/2024,365
9808523,8146403,"£530,000","£265,000",50.00%,24 Apr 2025,£14.659800,0.26%,Live,2,9808523,1,24/04/2025,0
9890168,8985979,"£475,000","£200,000",50.00%,03 Jul 2025,£11.064000,0.19%,Live,2,9890168,2,03/07/2025,0
9775456 e,8837730,"£2,323,523","£55,000",33.46%,02 May 2025,£3.042600,0.05%,Live,3,9775456,6,02/05/2025,0
9202142,8523140,"£420,000","£210,000",50.00%,20 Jul 2025,£11.617200,0.20%,Live,2,9202142,1,20/07/2025,0
9231198 e,8441991,"£2,245,087","£33,750",49.74%,29 May 2025,£1.867050,0.03%,Live,4,9231198,6,29/05/2025,0
9609538 b,8116467,"£1,100,000","£100,000",41.73%,17 Mar 2025,£5.532000,0.10%,Live,2,9609538,4,17/03/2025,0
9268009,8394168,"£1,145,040","£363,000",47.60%,26 Aug 2025,£20.081160,0.35%,Live,2,9268009,4,26/08/2025,0
9946338,8342824,"£400,000","£200,000",50.00%,28 Jul 2025,£11.064000,0.19%,Live,2,9946338,1,28/07/2025,0
9117488,8572361,"£550,000","£275,000",50.00%,04 Sep 2025,£15.213000,0.27%,Live,2,9117488,1,04/09/2025,0
9658117 b,8628313,"£625,000","£63,000",49.92%,16 May 2025,£3.485160,0.06%,Live,2,9658117,3,16/05/2025,0
9553782 d,8132827,"£1,780,000","£25,000",31.01%,23 Apr 2025,£1.383000,0.02%,Live,1,9553782,4,23/04/2025,0
9615559 d,8362045,"£674,750","£30,000",49.35%,22 May 2025,£1.659600,0.03%,Live,2,9615559,6,22/05/2025,0
9224661 h,8711007,"£1,407,098","£58,000",48.89%,27 Jun 2025,£3.208560,0.06%,Extended (No ICF),2,9224661,9,27/12/2024,182
9577421,8273191,"£400,000","£200,000",50.00%,04 Aug 2025,£11.064000,0.19%,Live,2,9577421,1,04/08/2025,0
9798453,8139039,"£340,000","£170,000",50.00%,05 Aug 2025,£9.404400,0.16%,Live,2,9798453,1,05/08/2025,0
9911978,8545553,"£815,000","£377,000",49.94%,09 Aug 2025,£20.855640,0.36%,Live,2,9911978,2,09/08/2025,0
9846890,8405591,"£745,000","£370,000",49.66%,09 Aug 2025,£20.468400,0.36%,Live,2,9846890,1,09/08/2025,0
9364982,8192827,"£625,000","£250,000",49.92%,09 Aug 2025,£13.830000,0.24%,Live,2,9364982,3,09/08/2025,0
9405506,8673860,"£950,000","£475,000",50.00%,27 Jun 2025,£26.277000,0.46%,Live,2,9405506,1,27/06/2025,0
9514443 c,8418494,"£1,500,000","£30,000",50.00%,20 Jan 2025,£1.659600,0.03%,Live,2,9514443,5,20/01/2025,0
9531616,8679580,"£530,000","£265,000",50.00%,16 Jul 2025,£14.659800,0.26%,Live,2,9531616,1,16/07/2025,0
9189733,8248260,"£500,000","£250,000",50.00%,28 Jul 2025,£13.830000,0.24%,Live,2,9189733,1,28/07/2025,0
9998121,8319817,"£420,000","£170,000",40.48%,13 Aug 2026,£9.404400,0.16%,Live,2,9998121,1,13/08/2026,0
9157269,8634022,"£425,000","£187,000",49.88%,16 Aug 2025,£10.344840,0.18%,Live,2,9157269,2,16/08/2025,0
9157269 b,8634022,"£425,000","£25,000",49.88%,16 Aug 2025,£1.383000,0.02%,Live,2,9157269,2,16/08/2025,0
9847740,8656317,"£400,000","£195,000",48.75%,18 Aug 2025,£10.787400,0.19%,Live,2,9847740,1,18/08/2025,0
9283935,8691426,"£1,886,250","£747,000",42.25%,18 Mar 2025,£41.324040,0.72%,Live,4,9283935,3,18/03/2025,0
9776823,8939434,"£725,000","£280,875",38.74%,09 Mar 2025,£15.538005,0.27%,Live,2,9776823,1,09/03/2025,0
9759623 c,8593913,"£1,528,282","£100,000",49.57%,18 May 2025,£5.532000,0.10%,Extended (No ICF),2,9759623,4,18/11/2024,181
9541573 b,8778586,"£1,200,000","£30,000",49.50%,11 May 2025,£1.659600,0.03%,Extended (No ICF),2,9541573,4,11/11/2024,181
9430662 b,8381602,"£855,000","£25,000",49.71%,27 Feb 2025,£1.383000,0.02%,Live,2,9430662,2,27/02/2025,0
9412552 b,8791214,"£300,000","£25,000",50.00%,04 Jan 2025,£1.383000,0.02%,Extended (No ICF),2,9412552,2,04/01/2025,0
9869541 b,8192608,"£1,085,000","£50,000",48.85%,21 Dec 2024,£2.766000,0.05%,Extended (No ICF),2,9869541,2,21/12/2024,0
9116419 c,8543592,"£4,435,000","£300,000",38.84%,16 Jun 2025,£16.596000,0.29%,Extended (No ICF),2,9116419,3,16/12/2023,548
9919857 j,8755537,"£4,599,864","£150,000",45.91%,14 Nov 2025,£8.298000,0.15%,Extended (No ICF),4,9919857,12,14/11/2024,365
9848278 b,8912174,"£1,240,000","£150,000",33.23%,15 Jul 2025,£8.298000,0.15%,Live,1,9848278,3,15/07/2025,0
9474360,8882576,"£670,000","£275,000",50.00%,19 Aug 2025,£15.213000,0.27%,Live,2,9474360,3,19/08/2025,0
9233135,8392239,"£450,000","£225,000",50.00%,22 Aug 2025,£12.447000,0.22%,Live,2,9233135,1,22/08/2025,0
9320406 b,8727010,"£480,000","£22,000",50.00%,14 Apr 2025,£1.217040,0.02%,Live,2,9320406,3,14/04/2025,0
9619849,8668513,"£710,000","£355,000",50.00%,25 Aug 2025,£19.638600,0.34%,Live,2,9619849,1,25/08/2025,0
9274030,8785892,"£365,000","£182,000",49.86%,26 Aug 2025,£10.068240,0.18%,Live,2,9274030,1,26/08/2025,0
9219749,8270839,"£535,000","£267,500",50.00%,25 Sep 2025,£14.798100,0.26%,Live,2,9219749,1,25/09/2025,0
9565150,8244040,"£330,000","£165,000",50.00%,25 Mar 2025,£9.127800,0.16%,Live,2,9565150,1,25/03/2025,0
9619865,8863399,"£350,000","£175,000",50.00%,29 Sep 2025,£9.681000,0.17%,Live,2,9619865,1,29/09/2025,0
9106176,8425083,"£625,000","£237,000",49.12%,24 Aug 2025,£13.110840,0.23%,Live,2,9106176,3,24/08/2025,0
9132562,8328047,"£725,000","£362,000",49.93%,29 Aug 2025,£20.025840,0.35%,Live,2,9132562,1,29/08/2025,0
9190723,8918014,"£750,000","£375,000",50.00%,29 Aug 2025,£20.745000,0.36%,Live,2,9190723,1,29/08/2025,0
9882155,8871143,"£430,000","£215,000",50.00%,29 Jun 2025,£11.893800,0.21%,Live,2,9882155,1,29/06/2025,0
9494979,8846676,"£1,385,000","£475,000",34.30%,26 Sep 2025,£26.277000,0.46%,Live,2,9494979,1,26/09/2025,0
9198340,8347910,"£350,000","£175,000",50.00%,29 Jun 2025,£9.681000,0.17%,Live,2,9198340,1,29/06/2025,0
9598100 b,8306911,"£535,000","£20,000",49.91%,27 May 2025,£1.106400,0.02%,Live,2,9598100,4,27/05/2025,0
9794757 b,8306911,"£480,000","£25,000",50.00%,26 May 2025,£1.383000,0.02%,Live,2,9794757,3,26/05/2025,0
9715106 b,8304771,"£625,000","£20,000",48.00%,24 May 2025,£1.106400,0.02%,Live,2,9715106,4,24/05/2025,0
9679113 c,8885184,"£1,000,000","£75,000",49.70%,29 Jun 2025,£4.149000,0.07%,Live,2,9679113,5,29/06/2025,0
9377641 c,8143083,"£750,000","£40,000",50.00%,20 May 2025,£2.212800,0.04%,Live,2,9377641,3,20/05/2025,0
9751192 b,8425041,"£650,000","£20,000",50.00%,13 Jul 2025,£1.106400,0.02%,Live,2,9751192,4,13/07/2025,0
9979093,8784893,"£375,000","£187,500",50.00%,06 Oct 2025,£10.372500,0.18%,Live,2,9979093,1,06/10/2025,0
9843983,8568929,"£330,000","£165,000",50.00%,06 Oct 2025,£9.127800,0.16%,Live,2,9843983,1,06/10/2025,0
9640278,8100710,"£1,100,000","£550,000",50.00%,18 Mar 2025,£30.426000,0.53%,Extended (No ICF),2,9640278,1,18/03/2025,0
9756723,8125291,"£500,000","£250,000",50.00%,02 Oct 2025,£13.830000,0.24%,Live,2,9756723,1,02/10/2025,0
9775456 f,8837730,"£2,323,523","£25,000",33.46%,02 May 2025,£1.383000,0.02%,Live,3,9775456,6,02/05/2025,0
9514443 d,8418494,"£1,500,000","£35,000",50.00%,20 Jan 2025,£1.936200,0.03%,Live,2,9514443,5,20/01/2025,0
9224661 i,8711007,"£1,407,098","£50,000",48.89%,27 Jun 2025,£2.766000,0.05%,Extended (No ICF),2,9224661,9,27/06/2025,0
9919857 k,8755537,"£4,599,864","£55,000",45.91%,14 Nov 2025,£3.042600,0.05%,Extended (No ICF),4,9919857,12,14/11/2025,0
9615559 e,8362045,"£674,750","£18,000",49.35%,22 May 2025,£0.995760,0.02%,Live,2,9615559,6,22/05/2025,0
9328491,8571249,"£1,075,000","£425,000",49.77%,12 Sep 2025,£23.511000,0.41%,Live,2,9328491,2,12/09/2025,0
9759623 d,8593913,"£1,528,282","£70,000",49.57%,18 May 2025,£3.872400,0.07%,Extended (No ICF),2,9759623,4,18/05/2025,0
9679113 d,8885184,"£1,000,000","£75,000",49.70%,29 Jun 2025,£4.149000,0.07%,Live,2,9679113,5,29/06/2025,0
9834312,8459987,"£530,000","£265,000",50.00%,13 Apr 2025,£14.659800,0.26%,Live,2,9834312,1,13/04/2025,0
9917229,8970072,"£1,150,000","£525,000",45.65%,15 Sep 2025,£29.043000,0.51%,Live,2,9917229,1,15/09/2025,0
9268009 b,8394168,"£1,145,040","£82,000",47.60%,26 Aug 2025,£4.536240,0.08%,Live,2,9268009,4,26/08/2025,0
9715106 c,8304771,"£625,000","£25,000",48.00%,24 May 2025,£1.383000,0.02%,Live,2,9715106,4,24/05/2025,0
9986605,8180124,"£800,000","£400,000",50.00%,15 Apr 2025,£22.128000,0.39%,Live,2,9986605,1,15/04/2025,0
9320406 c,8727010,"£480,000","£18,000",50.00%,14 Apr 2025,£0.995760,0.02%,Live,2,9320406,3,14/04/2025,0
9109634 c,8785857,"£2,370,000","£100,000",49.37%,11 Mar 2025,£5.532000,0.10%,Extended (No ICF),2,9109634,5,11/03/2025,0
9805867,8700567,"£850,000","£425,000",50.00%,28 Sep 2025,£23.511000,0.41%,Live,2,9805867,1,28/09/2025,0
9109634 d,8785857,"£2,370,000","£100,000",49.37%,11 Mar 2025,£5.532000,0.10%,Extended (No ICF),2,9109634,5,11/03/2025,0
9622519,8110513,"£450,000","£225,000",50.00%,27 Sep 2025,£12.447000,0.22%,Live,2,9622519,1,27/09/2025,0
9283935 b,8691426,"£1,886,250","£20,000",42.25%,18 Mar 2025,£1.106400,0.02%,Live,4,9283935,3,18/03/2025,0
9983809,8349409,"£360,000","£175,000",48.61%,02 Nov 2025,£9.681000,0.17%,Live,2,9983809,1,02/11/2025,0
9109634 e,8785857,"£2,370,000","£170,000",49.37%,11 Mar 2025,£9.404400,0.16%,Extended (No ICF),2,9109634,5,11/03/2025,0
9210968,8972102,"£500,000","£250,000",50.00%,30 Sep 2025,£13.830000,0.24%,Live,2,9210968,1,30/09/2025,0
9627869 b,8874957,"£1,200,000","£35,000",46.67%,06 Feb 2025,£1.936200,0.03%,Live,2,9627869,2,06/02/2025,0
9910181 c,8824575,"£1,639,520","£250,000",48.79%,12 May 2025,£13.830000,0.24%,Extended (No ICF),2,9910181,3,12/05/2025,0
9364982 b,8192827,"£625,000","£25,000",49.92%,09 Aug 2025,£1.383000,0.02%,Live,2,9364982,3,09/08/2025,0
9751192 c,8425041,"£650,000","£50,000",50.00%,13 Jul 2025,£2.766000,0.05%,Live,2,9751192,4,13/07/2025,0
9231198 f,8441991,"£2,245,087","£50,000",49.74%,29 May 2025,£2.766000,0.05%,Live,2,9231198,6,29/05/2025,0
9753951 b,8598970,"£570,000","£55,000",49.12%,10 Jun 2025,£3.042600,0.05%,Live,2,9753951,2,10/06/2025,0
9688844,8483327,"£500,000","£250,000",50.00%,05 Oct 2025,£13.830000,0.24%,Live,2,9688844,1,05/10/2025,0
9712676 b,8914479,"£550,000","£87,500",50.00%,13 Jun 2025,£4.840500,0.08%,Live,2,9712676,2,13/06/2025,0
9997120 b,8147568,"£1,390,000","£59,000",48.13%,30 Jun 2025,£3.263880,0.06%,Live,2,9997120,2,30/06/2025,0
9443879 b,8966606,"£425,000","£95,000",50.00%,11 Apr 2025,£5.255400,0.09%,Live,2,9443879,2,11/04/2025,0
9890168 b,8985979,"£475,000","£37,500",50.00%,03 Jul 2025,£2.074500,0.04%,Live,2,9890168,2,03/07/2025,0
9577089 b,8551869,"£1,545,000","£290,000",39.81%,27 Mar 2025,£16.042800,0.28%,Live,2,9577089,2,27/03/2025,0
9786514,8784893,"£550,000","£210,000",38.18%,02 Mar 2025,£11.617200,0.20%,Live,2,9786514,1,02/03/2025,0
9306013,8361410,"£500,000","£250,000",50.00%,05 Mar 2025,£13.830000,0.24%,Live,2,9306013,1,05/03/2025,0
9298096,8528799,"£1,500,000","£324,000",21.60%,07 Nov 2025,£17.923680,0.31%,Live,1,9298096,1,07/11/2025,0
9106176 b,8425083,"£625,000","£35,000",49.12%,24 Aug 2025,£1.936200,0.03%,Live,2,9106176,3,24/08/2025,0
9911978 b,8545553,"£815,000","£30,000",49.94%,09 Aug 2025,£1.659600,0.03%,Live,2,9911978,2,09/08/2025,0
9846653,8727466,"£415,000","£207,500",50.00%,30 Sep 2025,£11.478900,0.20%,Live,2,9846653,1,30/09/2025,0
9299206,8579323,"£520,000","£260,000",50.00%,11 Nov 2025,£14.383200,0.25%,Live,2,9299206,1,11/11/2025,0
9715106 d,8304771,"£625,000","£35,000",48.00%,24 May 2025,£1.936200,0.03%,Live,2,9715106,4,24/05/2025,0
9827271,8115982,"£2,100,000","£1,050,000",50.00%,10 Nov 2025,£58.086000,1.02%,Live,2,9827271,1,10/11/2025,0
9573935,8137330,"£330,000","£165,000",50.00%,10 Feb 2026,£9.127800,0.16%,Live,4,9573935,1,10/02/2026,0
9406066,8287879,"£400,000","£165,000",41.25%,11 Sep 2025,£9.127800,0.16%,Live,2,9406066,1,11/09/2025,0
9609538 c,8116467,"£1,100,000","£30,000",41.73%,17 Mar 2025,£1.659600,0.03%,Live,2,9609538,4,17/03/2025,0
9794757 c,8306911,"£480,000","£25,000",50.00%,26 May 2025,£1.383000,0.02%,Live,2,9794757,3,26/05/2025,0
9598100 c,8306911,"£535,000","£30,000",49.91%,27 May 2025,£1.659600,0.03%,Live,2,9598100,4,27/05/2025,0
9268009 c,8394168,"£1,145,040","£50,000",47.60%,26 Aug 2025,£2.766000,0.05%,Live,2,9268009,4,26/08/2025,0
9121378,8363271,"£890,000","£187,500",50.00%,12 Nov 2026,£10.372500,0.18%,Live,4,9121378,4,12/11/2026,0
9474360 b,8882576,"£670,000","£35,000",50.00%,19 Aug 2025,£1.936200,0.03%,Live,2,9474360,3,19/08/2025,0
9570207,8220488,"£500,000","£250,000",50.00%,13 Oct 2025,£13.830000,0.24%,Live,2,9570207,1,13/10/2025,0
9541573 c,8778586,"£1,200,000","£30,000",49.50%,11 May 2025,£1.659600,0.03%,Extended (No ICF),2,9541573,4,11/05/2025,0
9159872 b,8847450,"£665,000","£87,500",50.00%,23 Jun 2025,£4.840500,0.08%,Live,2,9159872,2,23/06/2025,0
9817060,8690059,"£1,600,000","£600,000",37.50%,13 Nov 2025,£33.192000,0.58%,Live,2,9817060,1,13/11/2025,0
9288289,8120312,"£500,000","£250,000",50.00%,30 Apr 2025,£13.830000,0.24%,Live,2,9288289,1,30/04/2025,0
9957612,8703161,"£1,835,000","£917,500",50.00%,07 May 2025,£50.756100,0.89%,Live,2,9957612,1,07/05/2025,0
9328491 b,8571249,"£1,075,000","£110,000",49.77%,12 Sep 2025,£6.085200,0.11%,Live,2,9328491,2,12/09/2025,0
9751192 d,8425041,"£650,000","£30,000",50.00%,13 Jul 2025,£1.659600,0.03%,Live,2,9751192,4,13/07/2025,0
9609538 d,8116467,"£1,100,000","£34,000",41.73%,17 Mar 2025,£1.880880,0.03%,Live,2,9609538,4,17/03/2025,0
9658117 c,8628313,"£625,000","£62,000",49.92%,16 May 2025,£3.429840,0.06%,Live,2,9658117,3,16/05/2025,0
9781444,8763472,"£750,000","£375,000",50.00%,20 Oct 2025,£20.745000,0.36%,Live,2,9781444,1,20/10/2025,0
9202749,8995613,"£385,000","£192,500",50.00%,19 Sep 2025,£10.649100,0.19%,Live,2,9202749,1,19/09/2025,0
9548117,8295022,"£525,000","£262,000",49.90%,19 Oct 2025,£14.493840,0.25%,Live,2,9548117,1,19/10/2025,0
9121378 b,8363271,"£890,000","£150,000",50.00%,12 Nov 2026,£8.298000,0.15%,Live,4,9121378,4,12/11/2026,0
9108295 b,8547913,"£625,000","£42,500",50.00%,09 May 2025,£2.351100,0.04%,Live,2,9108295,2,09/05/2025,0
9541573 d,8778586,"£1,200,000","£119,000",49.50%,11 May 2025,£6.583080,0.12%,Extended (No ICF),2,9541573,4,11/05/2025,0
9736437,8428438,"£410,000","£205,000",50.00%,20 Nov 2025,£11.340600,0.20%,Live,2,9736437,1,20/11/2025,0
9919857 l,8755537,"£4,599,864","£65,000",45.91%,14 Nov 2025,£3.595800,0.06%,Extended (No ICF),4,9919857,12,14/11/2025,0
9604261,8971083,"£490,000","£245,000",50.00%,21 Oct 2025,£13.553400,0.24%,Live,2,9604261,1,21/10/2025,0
9766080 b,8876184,"£660,000","£45,000",48.48%,23 May 2025,£2.489400,0.04%,Live,2,9766080,2,23/05/2025,0
9341043,8480913,"£785,600","£250,000",31.82%,21 Nov 2025,£13.830000,0.24%,Live,1,9341043,1,21/11/2025,0
9679113 e,8885184,"£1,000,000","£85,000",49.70%,29 Jun 2025,£4.702200,0.08%,Live,2,9679113,5,29/06/2025,0
9648840,8768442,"£490,000","£245,000",50.00%,25 Oct 2025,£13.553400,0.24%,Live,2,9648840,1,25/10/2025,0
9336954,8755996,"£490,000","£245,000",50.00%,25 Oct 2025,£13.553400,0.24%,Live,2,9336954,1,25/10/2025,0
9660821,8707390,"£450,000","£225,000",50.00%,17 Aug 2025,£12.447000,0.22%,Live,2,9660821,1,17/08/2025,0
9364982 c,8192827,"£625,000","£37,000",49.92%,09 Aug 2025,£2.046840,0.04%,Live,2,9364982,3,09/08/2025,0
9615559 f,8362045,"£674,750","£30,000",49.35%,22 May 2025,£1.659600,0.03%,Live,2,9615559,6,22/05/2025,0
9534797,8694977,"£330,000","£165,000",50.00%,21 May 2025,£9.127800,0.16%,Live,2,9534797,1,21/05/2025,0
9281983,8147568,"£470,000","£180,000",38.30%,27 Nov 2025,£9.957600,0.17%,Live,2,9281983,1,27/11/2025,0
9746078,8572944,"£350,000","£175,000",50.00%,24 Nov 2025,£9.681000,0.17%,Live,2,9746078,1,24/11/2025,0
9192154,8881436,"£610,000","£305,000",50.00%,04 Dec 2025,£16.872600,0.29%,Live,2,9192154,1,04/12/2025,0
9772249,8452860,"£490,000","£245,000",50.00%,25 Nov 2025,£13.553400,0.24%,Live,2,9772249,1,25/11/2025,0
9941843,8129967,"£950,000","£475,000",50.00%,01 Dec 2025,£26.277000,0.46%,Live,2,9941843,1,01/12/2025,0
9950437,8834133,"£440,000","£220,000",50.00%,01 Sep 2025,£12.170400,0.21%,Live,2,9950437,1,01/09/2025,0
9121378 c,8363271,"£890,000","£57,500",50.00%,12 Nov 2026,£3.180900,0.06%,Live,4,9121378,4,12/11/2026,0
9846007 b,8346656,"£605,000","£35,000",50.00%,12 May 2025,£1.936200,0.03%,Live,2,9846007,2,12/05/2025,0
9514443 e,8418494,"£1,500,000","£25,000",50.00%,20 Jan 2025,£1.383000,0.02%,Live,2,9514443,5,20/01/2025,0
9519752,8720386,"£475,000","£237,500",50.00%,02 Jun 2025,£13.138500,0.23%,Live,2,9519752,1,02/06/2025,0
9848278 c,8912174,"£1,240,000","£112,000",33.23%,15 Jul 2025,£6.195840,0.11%,Live,1,9848278,3,15/07/2025,0
9758988,8935881,"£600,000","£300,000",50.00%,04 Dec 2025,£16.596000,0.29%,Live,2,9758988,1,04/12/2025,0
9598100 d,8306911,"£535,000","£30,000",49.91%,27 May 2025,£1.659600,0.03%,Live,2,9598100,4,27/05/2025,0
9513027,8779153,"£435,000","£217,000",49.89%,05 Nov 2025,£12.004440,0.21%,Live,2,9513027,1,05/11/2025,0
9283935 c,8691426,"£1,886,250","£30,000",42.25%,18 Mar 2025,£1.659600,0.03%,Live,4,9283935,3,18/03/2025,0
9106176 c,8425083,"£625,000","£35,000",49.12%,24 Aug 2025,£1.936200,0.03%,Live,2,9106176,3,24/08/2025,0
9474360 c,8882576,"£670,000","£25,000",50.00%,19 Aug 2025,£1.383000,0.02%,Live,2,9474360,3,19/08/2025,0
9104451,8796707,"£490,000","£245,000",50.00%,09 Nov 2025,£13.553400,0.24%,Live,2,9104451,1,09/11/2025,0
9406372,8147568,"£470,000","£228,250",48.56%,10 Dec 2025,£12.626790,0.22%,Live,2,9406372,1,10/12/2025,0
9202799,8528243,"£375,000","£187,000",49.87%,09 Nov 2025,£10.344840,0.18%,Live,2,9202799,1,09/11/2025,0
9514687,8778918,"£1,650,000","£450,000",27.27%,12 Nov 2025,£24.894000,0.44%,Live,1,9514687,1,12/11/2025,0
9285687,8467793,"£1,050,000","£525,000",50.00%,11 Nov 2025,£29.043000,0.51%,Live,2,9285687,1,11/11/2025,0
9786147,8856224,"£480,000","£240,000",50.00%,11 Jun 2025,£13.276800,0.23%,Live,2,9786147,1,11/06/2025,0
9121378 d,8363271,"£890,000","£50,000",50.00%,12 Nov 2026,£2.766000,0.05%,Live,4,9121378,4,12/11/2026,0
9311217,8275450,"£1,590,000","£795,000",50.00%,15 Nov 2025,£43.979400,0.77%,Live,2,9311217,1,15/11/2025,0
9268009 d,8394168,"£1,145,040","£50,000",47.60%,26 Aug 2025,£2.766000,0.05%,Live,2,9268009,4,26/08/2025,0
Cash awaiting investment,-,-,-,-,-,£141.026530,2.47%,-,-,Cash aw,1,#N/A,#VALUE!
