Date,Description,Amount,Running Total,Modified Amt
2023-03-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,8.63,-0.4916666667
2023-04-01,Regular Monthly Interest – Mar 2023,-8.61,0.02,-8.61
2023-04-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,5.853333333,5.833333333
2023-04-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.27,-0.5833333333
2023-04-05,Gross Loan Interest For Staines Mixed Use A ( 1 loan parts),4.55,9.82,4.55
2023-04-05,Loan Interest Fee For Staines Mixed Use A ( 1 loan parts),-0.455,9.365,-0.455
2023-04-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,14.28166667,4.916666667
2023-04-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,13.79,-0.4916666667
2023-05-01,Regular Monthly Interest – Apr 2023,-13.76,0.03,-13.76
2023-05-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,5.863333333,5.833333333
2023-05-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.28,-0.5833333333
2023-05-05,Gross Loan Interest For Staines Mixed Use A ( 1 loan parts),4.55,9.83,4.55
2023-05-05,Loan Interest Fee For Staines Mixed Use A ( 1 loan parts),-0.455,9.375,-0.455
2023-05-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,14.29166667,4.916666667
2023-05-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,13.8,-0.4916666667
2023-06-01,Regular Monthly Interest – May 2023,-13.76,0.04,-13.76
2023-06-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,5.873333333,5.833333333
2023-06-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.29,-0.5833333333
2023-06-05,Gross Loan Interest For Staines Mixed Use A ( 1 loan parts),4.55,9.84,4.55
2023-06-05,Loan Interest Fee For Staines Mixed Use A ( 1 loan parts),-0.455,9.385,-0.455
2023-06-05,Bank Interest (06/03/2023 TO 05/06/2023),0.01,9.395,0.01
2023-06-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,14.31166667,4.916666667
2023-06-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,13.82,-0.4916666667
2023-07-01,Regular Monthly Interest – Jun 2023,-13.77,0.05,-13.77
2023-07-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,5.883333333,5.833333333
2023-07-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.3,-0.5833333333
2023-07-05,Gross Loan Interest For Staines Mixed Use A ( 1 loan parts),4.55,9.85,4.55
2023-07-05,Loan Interest Fee For Staines Mixed Use A ( 1 loan parts),-0.455,9.395,-0.455
